feature,VIF
Protocol,2.2054723348659766
Fwd Packet Length Std,2.5441163463341945
Bwd Packet Length Min,1.5806468077377023
Bwd Packet Length Std,2.199904624302231
Flow Bytes/s,2.9365989155639576
Fwd IAT Min,1.012037318998671
Bwd IAT Total,4.017117439516772
Bwd IAT Mean,2.836124862039238
Bwd IAT Min,1.1345771977970502
Bwd PSH Flags,
Fwd URG Flags,
Bwd URG Flags,
Fwd Header Length,1.0380094504467348
Bwd Header Length,1.0054571273443105
Fwd Packets/s,3.1515150047541587
Bwd Packets/s,1.0540117512582308
FIN Flag Count,
SYN Flag Count,1.0014002873562249
RST Flag Count,1.170901074722528
PSH Flag Count,
ACK Flag Count,3.6191885314056313
CWE Flag Count,1.8623770441153877
ECE Flag Count,
Down/Up Ratio,2.604530249415926
Fwd Avg Bytes/Bulk,
Fwd Avg Packets/Bulk,
Fwd Avg Bulk Rate,
Bwd Avg Bytes/Bulk,
Bwd Avg Packets/Bulk,
Bwd Avg Bulk Rate,
Subflow Fwd Packets,1.0320349580236483
Subflow Fwd Bytes,2.051401120903354
Init Fwd Win Bytes,2.3263719739663187
Init Bwd Win Bytes,1.4076562672007564
Fwd Act Data Packets,1.12577953947088
Active Mean,1.5461982779584316
Active Std,1.5920211796045365
Idle Std,1.8408796249242099
Idle Min,2.504115708634244
